"","X1","probs","quinteto","Year","Player","Pos"
"363",145,0.00494094188759868,0,2015,"Brandon Davies","PF"
"364",344,0.00492731382707081,0,2015,"Courtney Lee","SG"
"365",386,0.00491903846779009,0,2015,"Jodie Meeks","SG"
"366",387,0.00475060208477179,0,2015,"Gal Mekel","PG"
"367",18,0.00469268435917793,0,2015,"Chris Andersen","C"
"368",468,0.00463408054504364,0,2015,"Dwight Powell","PF"
"369",452,0.00463210413458218,0,2015,"Elfrid Payton","PG"
"370",3,0.0046047261755422,0,2015,"Steven Adams","C"
"371",40,0.00458720500145993,0,2015,"Earl Barron","C"
"372",421,0.00454399761173242,0,2015,"Gary Neal","SG"
"373",56,0.0045069972232887,0,2015,"Bismack Biyombo","C"
"374",51,0.00445318947982005,0,2015,"Marco Belinelli","SG"
"375",634,0.00437242158108157,0,2015,"Shawne Williams","SF"
"376",352,0.00431771554052827,0,2015,"Jeremy Lin","PG"
"377",464,0.00431695092451128,0,2015,"Quincy Pondexter","SF"
"378",183,0.00431569571702862,0,2015,"Tyler Ennis","PG"
"379",402,0.00427534807584086,0,2015,"Nazr Mohammed","C"
"380",70,0.00422128824245123,0,2015,"Avery Bradley","SG"
"381",310,0.00421982474271286,0,2015,"Tyler Johnson","SG"
"382",140,0.00414585657566178,0,2015,"Troy Daniels","SG"
"383",521,0.00409954361644005,0,2015,"Thabo Sefolosha","SF"
"384",307,0.00408725498871452,0,2015,"James Johnson","PF"
"385",504,0.00405411729156917,0,2015,"Thomas Robinson","PF"
"386",590,0.00402835137850723,0,2015,"P.J. Tucker","SF"
"387",131,0.0040006044045531,0,2015,"Jae Crowder","SF"
"388",637,0.00391506071821804,0,2015,"Nate Wolters","PG"
"389",262,0.00386981387325234,0,2015,"Xavier Henry","SF"
"390",226,0.00385734038516489,0,2015,"Danny Granger","SF"
"391",362,0.0038252507177618,0,2015,"Devyn Marble","SG"
"392",68,0.00371430089588878,0,2015,"Carlos Boozer","PF"
"393",625,0.00371220089532779,0,2015,"Elliot Williams","SG"
"394",153,0.00369598143191439,0,2015,"Austin Daye","SF"
"395",391,0.00368130848549727,0,2015,"Andre Miller","PG"
"396",447,0.00366161820594504,0,2015,"Patrick Patterson","PF"
"397",501,0.00363764409698008,0,2015,"Nate Robinson","PG"
"398",478,0.00360298215200845,0,2015,"Tayshaun Prince","SF"
"399",72,0.00359796486240042,0,2015,"Corey Brewer","SF"
"400",576,0.00358271900135399,0,2015,"Lance Thomas","SF"
"401",588,0.0035751626168767,0,2015,"Anthony Tolliver","PF"
"402",274,0.00355768508099997,0,2015,"Rodney Hood","SG"
"403",110,0.0035025100823654,0,2015,"Patrick Christopher","SG"
"404",194,0.0034729578933714,0,2015,"Evan Fournier","SG"
"405",188,0.00346106964715764,0,2015,"Festus Ezeli","C"
"406",433,0.003429958780339,0,2015,"Steve Novak","PF"
"407",393,0.00342864642001716,0,2015,"Darius Miller","SF"
"408",600,0.00332486071047454,0,2015,"Noah Vonleh","PF"
"409",123,0.00316678709396534,0,2015,"Jack Cooley","PF"
"410",458,0.00312575984463898,0,2015,"Mason Plumlee","C"
"411",190,0.00304657402802351,0,2015,"Jordan Farmar","PG"
"412",77,0.0029806315212915,0,2015,"Lorenzo Brown","PG"
"413",376,0.00297819481400783,0,2015,"K.J. McDaniels","SG"
"414",595,0.00295989533679138,0,2015,"Beno Udrih","PG"
"415",252,0.00295104823251762,0,2015,"Devin Harris","PG"
"416",466,0.00294295075123344,0,2015,"Dwight Powell","PF"
"417",476,0.00289911495901631,0,2015,"Pablo Prigioni","PG"
"418",584,0.00273525835500629,0,2015,"Marcus Thornton","SG"
"419",423,0.00273396233551979,0,2015,"Jameer Nelson","PG"
"420",493,0.00271933481673696,0,2015,"Austin Rivers","SG"
"421",246,0.00269893623546318,0,2015,"Justin Hamilton","C"
"422",8,0.00262679433526432,0,2015,"Alexis Ajinca","C"
"423",231,0.00262155204833363,0,2015,"Gerald Green","SG"
"424",420,0.00258565629988486,0,2015,"Gary Neal","SG"
"425",2,0.00256943168427319,0,2015,"Jordan Adams","SG"
"426",619,0.00254060894325721,0,2015,"Andrew Wiggins","SF"
"427",589,0.0025388042601286,0,2015,"Anthony Tolliver","PF"
"428",398,0.00253826096882212,0,2015,"Patty Mills","PG"
"429",303,0.00253242923918919,0,2015,"Chris Johnson","SF"
"430",161,0.00252252425947798,0,2015,"Spencer Dinwiddie","PG"
