"","probs","quinteto","Year","Player"
"145",0.0843575763953016,0,2015,"Brandon Davies"
"117",0.0843361033329236,0,2015,"Norris Cole"
"146",0.0843296300419807,0,2015,"Brandon Davies"
"334",0.0839011812473101,0,2015,"Ognjen Kuzmic"
"600",0.0830024830641074,0,2015,"Noah Vonleh"
"108",0.0826285974914761,0,2015,"Wilson Chandler"
"183",0.0824814311089003,0,2015,"Tyler Ennis"
"349",0.0819411978592446,0,2015,"Meyers Leonard"
"223",0.0816764905988139,0,2015,"Drew Gordon"
"310",0.0813517405971893,0,2015,"Tyler Johnson"
"546",0.0813200299499546,0,2015,"Jason Smith"
"638",0.0811507665833075,0,2015,"Nate Wolters"
"248",0.0805098302038827,0,2015,"Tyler Hansbrough"
"625",0.0803141229259062,0,2015,"Elliot Williams"
"7",0.0792735228606509,0,2015,"Arron Afflalo"
"468",0.0790548293974569,0,2015,"Dwight Powell"
"87",0.0787820582359647,0,2015,"Caron Butler"
"81",0.0787086134928462,0,2015,"Chase Budinger"
"433",0.0786241261841064,0,2015,"Steve Novak"
"230",0.0781094692804453,0,2015,"Erick Green"
"326",0.077827963996688,0,2015,"Sean Kilpatrick"
"109",0.0776848386782421,0,2015,"Will Cherry"
"435",0.0774251152913019,0,2015,"Jusuf Nurkic"
"460",0.0769811644120962,0,2015,"Miles Plumlee"
"245",0.0752069959554313,0,2015,"Justin Hamilton"
"361",0.0740744812436348,0,2015,"Ian Mahinmi"
"54",0.0735471432506443,0,2015,"Patrick Beverley"
"2",0.0734976462378241,0,2015,"Jordan Adams"
"106",0.0732659609095974,0,2015,"Mario Chalmers"
"27",0.0711395070628349,0,2015,"Darrell Arthur"
"551",0.0700091764056457,0,2015,"Russ Smith"
"305",0.0689559853618272,0,2015,"Chris Johnson"
"249",0.068410957100126,0,2015,"Tim Hardaway"
"193",0.0679900702074986,0,2015,"Landry Fields"
"566",0.0677741457372979,0,2015,"Jeffery Taylor"
"455",0.0668956699883374,0,2015,"Kendrick Perkins"
"605",0.0667787077128263,0,2015,"Dion Waiters"
"394",0.0664180901476044,0,2015,"Mike Miller"
"138",0.0658691698457784,0,2015,"Troy Daniels"
